2025-08-08 11:10:16,546 [INFO] fetch_kline.py:82 筛选得到 3259 只股票
2025-08-08 11:10:16,548 [INFO] fetch_kline.py:331 开始抓取 3259 支股票 | 数据源:akshare | 频率:day | 日期:20250101 → 20250808
2025-08-08 11:10:49,410 [WARNING] fetch_kline.py:164 AKShare 拉取 002284 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:49,768 [WARNING] fetch_kline.py:164 AKShare 拉取 002290 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:50,212 [WARNING] fetch_kline.py:164 AKShare 拉取 002291 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:50,292 [WARNING] fetch_kline.py:164 AKShare 拉取 002287 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:50,411 [WARNING] fetch_kline.py:164 AKShare 拉取 002289 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:50,532 [WARNING] fetch_kline.py:164 AKShare 拉取 002276 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:50,673 [WARNING] fetch_kline.py:164 AKShare 拉取 002277 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:50,990 [WARNING] fetch_kline.py:164 AKShare 拉取 002279 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:51,549 [WARNING] fetch_kline.py:164 AKShare 拉取 002291 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:51,687 [WARNING] fetch_kline.py:164 AKShare 拉取 002290 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:52,371 [WARNING] fetch_kline.py:164 AKShare 拉取 002281 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:52,447 [WARNING] fetch_kline.py:164 AKShare 拉取 002283 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:52,658 [WARNING] fetch_kline.py:164 AKShare 拉取 002284 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:53,228 [WARNING] fetch_kline.py:164 AKShare 拉取 002289 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:53,319 [WARNING] fetch_kline.py:164 AKShare 拉取 002287 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:54,366 [WARNING] fetch_kline.py:164 AKShare 拉取 002290 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:54,413 [WARNING] fetch_kline.py:164 AKShare 拉取 002292 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:54,512 [WARNING] fetch_kline.py:164 AKShare 拉取 002291 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:54,901 [WARNING] fetch_kline.py:164 AKShare 拉取 002293 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:55,766 [WARNING] fetch_kline.py:164 AKShare 拉取 002292 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:56,293 [WARNING] fetch_kline.py:164 AKShare 拉取 002294 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:56,456 [WARNING] fetch_kline.py:164 AKShare 拉取 002293 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
